OBJECTID,A_AGE1,A_AGE2,A_AGE3,A_AGE4,A_AGE5,A_AGE6,A_AGE7,A_AGE8,A_AGE9,STATE,ST_CASE,VEH_NO,PER_NO,YEAR,A_PTYPE,A_RESTUSE,A_HELMUSE,A_ALCTES,A_HISP,A_RCAT,A_HRACE,A_EJECT,A_PERINJ,A_LOC,A_DOA
1,3,4,7,4,4,4,6,3,2,1,10001,1,1,2023,1,1,4,3,1,2,3,1,1,1,1
2,3,4,7,4,4,4,6,3,2,1,10002,1,1,2023,1,2,4,2,1,1,2,1,1,1,1
3,2,3,6,3,3,3,5,2,2,1,10003,1,1,2023,1,2,4,2,1,1,2,1,1,1,1
4,3,5,9,6,6,6,8,5,2,1,10004,1,1,2023,1,1,4,2,0,0,0,1,6,1,5
5,3,5,9,6,6,6,8,5,2,1,10004,1,2,2023,2,1,4,3,0,0,0,1,6,1,5
6,3,5,8,5,5,5,7,3,2,1,10004,1,3,2023,2,2,4,2,1,1,2,2,1,1,1
7,3,5,9,6,6,6,8,5,2,1,10005,1,1,2023,1,1,4,1,1,2,3,1,1,1,1
8,4,5,10,6,7,7,9,6,2,1,10005,1,2,2023,2,1,4,3,0,0,0,1,6,1,5
9,4,5,10,6,7,7,9,5,2,1,10005,1,3,2023,2,1,4,3,0,0,0,1,6,1,5
10,3,4,7,4,4,4,6,2,2,1,10005,1,4,2023,2,1,4,3,0,0,0,1,6,1,5
11,4,5,11,7,8,8,10,6,2,1,10006,1,1,2023,1,3,4,3,1,1,2,1,1,1,3
12,3,5,9,6,6,6,8,4,2,1,10007,1,1,2023,1,2,4,1,1,1,2,1,1,1,1
13,3,4,7,4,4,4,6,3,2,1,10007,2,1,2023,1,2,4,1,1,1,2,1,1,1,3
14,3,4,7,4,4,4,6,3,2,1,10008,1,1,2023,1,2,4,1,0,0,0,1,6,1,5
15,4,5,11,7,8,8,10,6,2,1,10008,1,2,2023,2,2,4,3,1,1,2,1,1,1,1
16,3,4,7,4,4,4,6,2,2,1,10009,1,1,2023,1,2,4,1,0,0,0,1,6,1,5
17,3,4,7,4,4,4,6,2,2,1,10009,1,2,2023,2,2,4,3,1,2,3,2,1,1,1
18,3,4,7,4,4,4,6,3,2,1,10009,1,3,2023,2,2,4,3,1,2,3,2,1,1,1
19,3,4,7,4,4,4,6,3,2,1,10010,1,1,2023,1,1,4,2,0,0,0,1,6,1,5
20,3,4,7,4,4,4,6,3,2,1,10010,2,1,2023,1,1,4,2,1,2,3,1,1,1,1
21,3,4,7,4,4,4,6,3,2,1,10010,2,2,2023,2,1,4,3,0,0,0,1,6,1,5
22,1,1,2,1,1,1,1,1,1,1,10010,2,3,2023,2,1,4,3,0,0,0,1,6,1,5
23,2,2,5,2,2,2,4,2,2,1,10011,1,1,2023,1,1,4,1,1,1,2,1,1,1,1
24,2,2,5,2,2,2,4,1,2,1,10012,1,1,2023,1,1,4,3,1,1,2,1,1,1,3
25,3,4,7,4,4,4,6,2,2,1,10013,1,1,2023,1,1,4,3,1,1,2,1,1,1,3
26,2,3,6,3,3,3,5,2,2,1,10013,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
27,2,2,5,2,2,2,4,1,2,1,10013,2,2,2023,2,2,4,3,0,0,0,1,6,1,5
28,2,2,5,2,2,2,4,1,2,1,10013,2,3,2023,2,1,4,3,0,0,0,1,6,1,5
29,4,5,10,6,7,7,9,6,2,1,10014,0,1,2023,3,4,4,3,1,2,3,1,1,3,3
30,4,5,10,6,7,7,9,5,2,1,10014,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
31,3,4,7,4,4,4,6,3,2,1,10015,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
32,3,5,9,6,6,6,8,5,2,1,10015,2,1,2023,1,2,4,1,1,1,2,1,1,1,3
33,2,2,5,2,2,2,4,1,2,1,10016,1,1,2023,1,2,4,2,1,1,2,2,1,1,1
34,2,2,5,2,2,2,4,1,2,1,10016,1,2,2023,2,1,4,3,0,0,0,1,6,1,5
35,2,2,5,2,2,2,4,2,2,1,10016,1,3,2023,2,2,4,3,0,0,0,1,6,1,5
36,2,2,5,2,2,2,4,2,2,1,10016,1,4,2023,2,1,4,3,0,0,0,1,6,1,5
37,2,2,5,2,2,2,4,1,2,1,10017,1,1,2023,1,1,4,3,2,1,1,1,1,1,1
38,3,4,7,4,4,4,6,2,2,1,10017,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
39,4,5,10,6,7,7,9,5,2,1,10018,0,1,2023,3,4,4,2,1,2,3,1,1,3,3
40,4,5,12,7,9,9,11,6,2,1,10018,1,1,2023,1,3,4,3,0,0,0,1,6,1,5
41,2,2,5,2,2,2,4,2,2,1,10019,1,1,2023,1,1,4,1,0,0,0,1,6,1,5
42,3,5,9,6,6,6,8,5,2,1,10019,2,1,2023,1,1,4,3,1,1,2,1,1,1,3
43,4,5,11,7,8,8,10,6,2,1,10020,1,1,2023,1,1,4,1,0,0,0,1,6,1,5
44,2,2,5,2,2,2,4,2,2,1,10020,2,1,2023,1,1,4,1,0,0,0,1,6,1,5
45,3,5,8,5,5,5,7,3,2,1,10020,2,2,2023,2,1,4,3,0,0,0,1,6,1,5
46,3,4,7,4,4,4,6,2,2,1,10020,2,3,2023,2,2,4,1,2,1,1,1,1,1,1
47,3,4,7,4,4,4,6,3,2,1,10020,2,4,2023,2,2,4,3,0,0,0,1,6,1,5
48,2,2,5,2,2,2,4,1,2,1,10021,1,1,2023,1,2,4,2,0,0,0,2,6,1,5
49,2,2,5,2,2,2,4,1,2,1,10021,1,2,2023,2,2,4,3,1,1,2,2,1,1,1
50,4,5,12,7,9,9,11,6,2,1,10022,1,1,2023,1,1,4,3,1,1,2,1,1,1,3
51,3,5,8,5,5,5,7,4,2,1,10023,1,1,2023,1,1,4,2,0,0,0,1,6,1,5
52,3,5,9,6,6,6,8,5,2,1,10023,2,1,2023,1,1,4,1,1,1,2,1,1,1,1
53,3,5,8,5,5,5,7,4,2,1,10024,0,1,2023,3,4,4,1,1,1,2,1,1,3,1
54,3,5,8,5,5,5,7,4,2,1,10024,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
55,3,4,7,4,4,4,6,2,2,1,10025,1,1,2023,1,2,4,3,2,1,1,1,1,1,1
56,3,4,7,4,4,4,6,3,2,1,10026,0,1,2023,3,4,4,3,1,2,3,1,1,3,1
57,3,4,7,4,4,4,6,3,2,1,10026,2,1,2023,1,1,4,2,0,0,0,1,6,1,5
58,3,4,7,4,4,4,6,3,2,1,10027,1,1,2023,1,2,4,2,1,2,3,2,1,1,1
59,3,4,7,4,4,4,6,2,2,1,10028,1,1,2023,1,2,4,2,1,1,2,1,1,1,1
60,3,4,7,4,4,4,6,2,2,1,10029,1,1,2023,1,4,1,1,0,0,0,1,6,1,5
61,2,3,6,3,3,3,5,2,2,1,10029,1,2,2023,2,4,1,3,1,1,2,1,1,1,1
62,2,2,5,2,2,2,4,2,2,1,10029,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
63,2,2,5,2,2,2,4,1,2,1,10029,2,2,2023,2,1,4,3,0,0,0,1,6,1,5
64,1,1,1,1,1,1,1,1,1,1,10029,2,3,2023,2,1,4,3,0,0,0,1,6,1,5
65,3,5,8,5,5,5,7,4,2,1,10029,3,1,2023,1,1,4,3,0,0,0,1,6,1,5
66,2,3,6,3,3,3,5,2,2,1,10030,1,1,2023,1,4,1,3,1,1,2,1,1,1,3
67,4,5,11,7,8,8,10,6,2,1,10030,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
68,4,5,11,7,8,8,10,6,2,1,10031,1,1,2023,1,3,4,3,1,2,3,1,1,1,3
69,3,5,8,5,5,5,7,4,2,1,10031,2,1,2023,1,3,4,1,2,1,1,1,1,1,1
70,4,5,12,7,9,9,11,6,2,1,10032,1,1,2023,1,1,4,3,1,1,2,1,1,1,1
71,2,3,6,3,3,3,5,2,2,1,10032,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
72,3,4,7,4,4,4,6,3,2,1,10033,1,1,2023,1,2,4,3,1,1,2,2,1,1,1
73,3,5,8,5,5,5,7,3,2,1,10034,1,1,2023,1,2,4,1,0,0,0,1,6,1,5
74,4,5,10,6,7,7,9,6,2,1,10034,2,1,2023,1,4,1,1,1,1,2,1,1,1,1
75,3,5,8,5,5,5,7,4,2,1,10035,1,1,2023,1,1,4,1,0,0,0,1,6,1,5
76,3,5,9,6,6,6,8,4,2,1,10035,1,2,2023,2,2,4,3,0,0,0,1,6,1,5
77,4,5,12,7,9,9,11,6,2,1,10035,2,1,2023,1,2,4,1,1,1,2,1,1,1,1
78,3,4,7,4,4,4,6,3,2,1,10037,1,1,2023,1,1,4,3,1,1,2,1,1,1,1
79,3,5,8,5,5,5,7,4,2,1,10037,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
80,2,2,5,2,2,2,4,1,2,1,10038,1,1,2023,1,2,4,1,1,1,2,2,1,1,3
81,2,2,5,2,2,2,4,1,2,1,10038,1,2,2023,2,1,4,3,0,0,0,1,6,1,5
82,2,2,5,2,2,2,4,1,2,1,10038,1,3,2023,2,1,4,3,0,0,0,1,6,1,5
83,4,5,10,6,7,7,9,5,2,1,10039,0,1,2023,3,4,4,2,1,1,2,1,1,4,3
84,3,4,7,4,4,4,6,2,2,1,10039,1,1,2023,1,1,4,1,0,0,0,1,6,1,5
85,2,3,6,3,3,3,5,2,2,1,10040,1,1,2023,1,2,4,2,0,0,0,1,6,1,5
86,2,3,6,3,3,3,5,2,2,1,10040,1,2,2023,2,3,4,3,0,0,0,1,6,1,5
87,2,3,6,3,3,3,5,2,2,1,10040,1,3,2023,2,3,4,2,1,1,2,3,1,1,3
88,3,5,8,5,5,5,7,4,2,1,10040,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
89,3,5,8,5,5,5,7,4,2,1,10040,2,2,2023,2,1,4,3,0,0,0,1,6,1,5
90,3,4,7,4,4,4,6,3,2,1,10041,1,1,2023,1,2,4,2,1,2,3,1,1,1,1
91,1,1,4,1,1,1,3,1,1,1,10041,1,2,2023,2,1,4,3,0,0,0,1,6,1,5
92,3,5,9,6,6,6,8,4,2,1,10041,1,3,2023,2,2,4,3,0,0,0,1,6,1,5
93,4,5,11,7,8,8,10,6,2,1,10042,0,1,2023,3,4,4,1,1,1,2,1,1,3,1
94,3,5,8,5,5,5,7,3,2,1,10042,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
95,1,1,2,1,1,1,2,1,1,1,10042,1,2,2023,2,1,4,3,0,0,0,1,6,1,5
96,3,4,7,4,4,4,6,2,2,1,10043,1,1,2023,1,2,4,3,1,1,2,2,1,1,1
97,4,5,10,6,7,7,9,5,2,1,10044,1,1,2023,1,2,4,1,1,1,2,2,1,1,1
98,3,4,7,4,4,4,6,2,2,1,10045,1,1,2023,1,2,4,1,1,2,3,1,1,1,1
99,5,6,13,8,10,10,12,7,3,1,10045,1,2,2023,2,2,4,3,0,0,0,1,6,1,5
100,3,5,8,5,5,5,7,4,2,1,10045,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
101,5,6,13,8,10,10,12,7,3,1,10045,2,2,2023,2,1,4,3,0,0,0,1,6,1,5
102,5,6,13,8,10,10,12,7,3,1,10045,2,3,2023,2,1,4,3,0,0,0,1,6,1,5
103,3,4,7,4,4,4,6,3,2,1,10045,3,1,2023,1,1,4,3,0,0,0,1,6,1,5
104,3,5,8,5,5,5,7,4,2,1,10046,1,1,2023,1,1,4,1,0,0,0,1,6,1,5
105,3,5,9,6,6,6,8,4,2,1,10046,2,1,2023,1,1,4,1,1,2,3,1,1,1,1
